I, [2024-05-19T23:06:51.707538 #884873]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.3.2)
E, [2024-05-19T23:06:51.707860 #884873] ERROR -- Kitchen: ------Exception-------
E, [2024-05-19T23:06:51.707895 #884873] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2024-05-19T23:06:51.707933 #884873] ERROR -- Kitchen: Message: Kitchen YAML file /home/jimboadmin/deploy-chef-config/kitchen.yml does not exist.
E, [2024-05-19T23:06:51.707971 #884873] ERROR -- Kitchen: ----------------------
E, [2024-05-19T23:06:51.707998 #884873] ERROR -- Kitchen: ------Backtrace-------
E, [2024-05-19T23:06:51.708019 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2024-05-19T23:06:51.708042 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:153:in `data'
E, [2024-05-19T23:06:51.708063 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:131:in `suites'
E, [2024-05-19T23:06:51.708087 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:183:in `filter_instances'
E, [2024-05-19T23:06:51.708110 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:142:in `build_instances'
E, [2024-05-19T23:06:51.708136 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:116:in `instances'
E, [2024-05-19T23:06:51.708159 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2024-05-19T23:06:51.708182 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2024-05-19T23:06:51.708205 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command/action.rb:34:in `block in call'
E, [2024-05-19T23:06:51.708228 #884873] ERROR -- Kitchen: /home/jimboadmin/.chef/gem/ruby/3.0.0/gems/benchmark-0.2.1/lib/benchmark.rb:296:in `measure'
E, [2024-05-19T23:06:51.708251 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command/action.rb:33:in `call'
E, [2024-05-19T23:06:51.708274 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/cli.rb:52:in `perform'
E, [2024-05-19T23:06:51.708297 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2024-05-19T23:06:51.708319 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/command.rb:27:in `run'
E, [2024-05-19T23:06:51.708343 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2024-05-19T23:06:51.708366 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor.rb:392:in `dispatch'
E, [2024-05-19T23:06:51.708389 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/base.rb:485:in `start'
E, [2024-05-19T23:06:51.708412 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/bin/kitchen:11:in `block in <top (required)>'
E, [2024-05-19T23:06:51.708435 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2024-05-19T23:06:51.708458 #884873] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/bin/kitchen:11:in `<top (required)>'
E, [2024-05-19T23:06:51.708481 #884873] ERROR -- Kitchen: /opt/chef-workstation/bin/kitchen:389:in `load'
E, [2024-05-19T23:06:51.708511 #884873] ERROR -- Kitchen: /opt/chef-workstation/bin/kitchen:389:in `<main>'
E, [2024-05-19T23:06:51.708536 #884873] ERROR -- Kitchen: ----End Backtrace-----
